Station,Scenario,Model,RMSE,MAE,R2,MAPE
Ottawa Downtown,With Traffic,XGBoost,1.3061,0.9608,0.7626,73.78
Ottawa Downtown,With Traffic,Random Forest,1.3549,1.0247,0.7445,85.49
Ottawa Downtown,With Traffic,GAM,1.6636,1.2868,0.6148,74.52
Ottawa Downtown,With Traffic,Stacking Ensemble,1.9861,1.7195,0.451,158.93
Ottawa Downtown,No Traffic,XGBoost,1.2834,0.9303,0.7708,67.13
Ottawa Downtown,No Traffic,Random Forest,1.3209,1.0054,0.7572,82.59
Ottawa Downtown,No Traffic,GAM,1.6877,1.2995,0.6036,81.31
Ottawa Downtown,No Traffic,Stacking Ensemble,1.9242,1.6667,0.4848,155.04
Sarnia,With Traffic,XGBoost,2.4103,1.8741,0.5331,34.63
Sarnia,With Traffic,Random Forest,2.5019,1.9782,0.497,38.5
Sarnia,With Traffic,GAM,2.8149,2.1592,0.3633,38.72
Sarnia,With Traffic,Stacking Ensemble,2.7491,2.0958,0.3927,41.66
Sarnia,No Traffic,XGBoost,2.3617,1.8553,0.5518,34.1
Sarnia,No Traffic,Random Forest,2.5341,2.0112,0.484,38.91
Sarnia,No Traffic,GAM,2.9515,2.2017,0.3,43.21
Sarnia,No Traffic,Stacking Ensemble,2.6114,2.096,0.452,42.68
Sault Ste. Marie,With Traffic,XGBoost,1.0081,0.728,0.73,32.2
Sault Ste. Marie,With Traffic,Random Forest,1.1344,0.8007,0.6582,36.92
Sault Ste. Marie,With Traffic,GAM,1.1083,0.8086,0.6737,36.91
Sault Ste. Marie,With Traffic,Stacking Ensemble,1.5902,1.3509,0.3282,76.33
Sault Ste. Marie,No Traffic,XGBoost,1.1223,0.7827,0.6654,33.49
Sault Ste. Marie,No Traffic,Random Forest,1.1558,0.7878,0.6451,35.69
Sault Ste. Marie,No Traffic,GAM,1.1891,0.8467,0.6244,37.78
Sault Ste. Marie,No Traffic,Stacking Ensemble,1.6142,1.3249,0.3078,73.13
Toronto Downtown,With Traffic,XGBoost,3.0099,2.3026,0.5755,20.33
Toronto Downtown,With Traffic,Random Forest,3.1925,2.5427,0.5225,23.2
Toronto Downtown,With Traffic,GAM,4.0006,3.0238,0.2501,27.01
Toronto Downtown,With Traffic,Stacking Ensemble,3.7717,3.1056,0.3335,29.52
Toronto Downtown,No Traffic,XGBoost,3.0679,2.3389,0.559,20.89
Toronto Downtown,No Traffic,Random Forest,3.1719,2.4861,0.5286,22.98
Toronto Downtown,No Traffic,GAM,3.8588,2.6741,0.3024,23.06
Toronto Downtown,No Traffic,Stacking Ensemble,3.9032,3.2507,0.2862,30.46
Toronto West,With Traffic,XGBoost,2.7061,2.0648,0.6207,19.52
Toronto West,With Traffic,Random Forest,2.8358,2.2474,0.5835,21.66
Toronto West,With Traffic,GAM,9.1472,3.3235,-3.3338,35.48
Toronto West,With Traffic,Stacking Ensemble,3.479,2.9046,0.3731,30.23
Toronto West,No Traffic,XGBoost,2.7061,2.0797,0.6207,19.99
Toronto West,No Traffic,Random Forest,2.7608,2.1875,0.6052,21.17
Toronto West,No Traffic,GAM,12.2615,3.6935,-6.787,39.85
Toronto West,No Traffic,Stacking Ensemble,3.6426,3.07,0.3128,32.59
