Day_of_Week,Traffic_Count,Town
Monday,36.89473684210526,Sarnia
Tuesday,34.86184210526316,Sarnia
Wednesday,35.35526315789474,Sarnia
Thursday,37.32236842105263,Sarnia
Friday,39.56578947368421,Sarnia
Saturday,30.31578947368421,Sarnia
Sunday,31.763157894736842,Sarnia
Monday,68.89473684210526,Sault Ste. Marie
Tuesday,70.54605263157895,Sault Ste. Marie
Wednesday,72.33552631578948,Sault Ste. Marie
Thursday,72.89473684210526,Sault Ste. Marie
Friday,73.6907894736842,Sault Ste. Marie
Saturday,62.71052631578947,Sault Ste. Marie
Sunday,61.42763157894737,Sault Ste. Marie
Monday,685.7171052631579,Ottawa Downtown
Tuesday,779.0657894736842,Ottawa Downtown
Wednesday,775.8552631578947,Ottawa Downtown
Thursday,787.5921052631579,Ottawa Downtown
Friday,740.8092105263158,Ottawa Downtown
Saturday,638.6513157894736,Ottawa Downtown
Sunday,584.8947368421053,Ottawa Downtown
Monday,178.70394736842104,Toronto West
Tuesday,189.76315789473685,Toronto West
Wednesday,202.98026315789474,Toronto West
Thursday,194.72368421052633,Toronto West
Friday,192.48026315789474,Toronto West
Saturday,177.44736842105263,Toronto West
Sunday,182.19078947368422,Toronto West
Monday,357.67763157894734,Toronto Downtown
Tuesday,385.4078947368421,Toronto Downtown
Wednesday,399.2763157894737,Toronto Downtown
Thursday,397.0986842105263,Toronto Downtown
Friday,401.95394736842104,Toronto Downtown
Saturday,385.74342105263156,Toronto Downtown
Sunday,355.19736842105266,Toronto Downtown
